Mês,COLHEITA_RECORRENTE(KG)2019,COLHEITA_RECORRENTE(KG)2020,COLHEITA_PONTUAL(KG)2019,COLHEITA_PONTUAL(KG)2020,Total_2019,Total_2020,Comparativo_recorrente,Comparativo_pontual
JAN,17396,22215,772,4439,18168,26654,4819,3667
FEV,26460,32742,252,8473,26712,41215,6282,8221
MAR,27292,23937,594,21230,27886,45167,-3355,20636
ABR,44541,33176,12621,88766,57162,121942,-11365,76145
MAI,39482,25941,3531,43245,43013,69186,-13541,39714
JUN,50891,17483,2959,162719,53850,180202,-33408,159760
JUL,42146,54045,4502,86744,46648,140789,11899,82242
AGO,44618,42522,923,73592,45541,116114,-2096,72669
SET,38266,50173,5713,62597,43979,112770,11907,56884
OUT,56154,40024,1725,33944,57879,73968,-16130,32219
NOV,60815,39380,7823,26877,68638,66257,-21435,19054
DEZ,24619,64446,6318,21290,30937,85736,39827,14972
TOTAL ,472678,446084,42023,633916,514701,1080000,-26594,591893
MEDIA,39390,37174,3502,52826,42892,90000,49324,-2216
